"x.km.ns","y.km.ns","x.km.os","y.km.os","lon.ns","lat.ns","lon.os","lat.os"
-5290.61389462243,5859.56671216628,-5123.54242251935,5653.60985711274,-55.7917328772087,51.8535438954984,-53.3568851195758,50.078145823617
-5380.99758304976,5816.96313795079,-5270.7667030746,5565.87806214573,-56.5911552907953,51.4493453681304,-54.6041842695802,49.2599814972938
-5475.65257108283,5786.24971859439,-5368.88102751772,5525.57864022906,-57.4744368053611,51.148910704937,-55.4890309518024,48.8755145517846
-5572.46569031669,5762.51741571351,-5445.41749904659,5492.32783827037,-58.4025247196576,50.9092884983335,-56.1714114388437,48.559492225655
-5663.5104642837,5722.05860202608,-5509.84503660205,5459.0660407846,-59.2079554504577,50.523492166495,-56.7275726346247,48.2468547880046
-5751.63945976097,5675.30257472792,-5556.16975265306,5428.02764916888,-59.9577973514651,50.0829954780109,-57.1039318034268,47.9591542684573
-5832.95132210132,5619.20865509163,-5580.10582603025,5405.41285375479,-60.6011765986648,49.5623570730207,-57.2772409045584,47.7524277041174
-5890.16615813193,5538.53996840176,-5595.10815472767,5383.76275734482,-60.907594509616,48.832930655539,-57.3621634520082,47.556854933355
-5916.36033918457,5442.82596306893,-5603.73329483181,5361.76544860469,-60.8464796863342,47.9810577838354,-57.3809784431966,47.3600958854041
-5906.33516937632,5343.68689709264,-5609.67593176515,5322.54023369477,-60.4121354531335,47.1104432910796,-57.319060027605,47.012013490298
-5885.30575209062,5247.64342733865,-5616.49284094656,5216.3262322995,-59.8877945877578,46.2703443329373,-57.0640713093196,46.0722672563807
-5916.54277544844,5172.67088474481,-5757.29975391561,4960.83836351914,-59.9686491023807,45.6003598820344,-57.7385151197135,43.7784210157363
-6006.52167131662,5129.20710210073,-5897.61731338122,4880.40422592626,-60.7422082239189,45.1907740697626,-58.9134444035331,43.0305118022607
-6102.12022940708,5100.76941542532,-6016.65805461219,4836.76785585821,-61.6171784709769,44.9117885154851,-59.9758585518629,42.612909041088
-6199.08334756986,5076.61458527605,-6112.90216549659,4806.19520716684,-62.5173920022025,44.6699154790894,-60.8459160634091,42.3166522296392
-6295.02425511456,5048.99550987737,-6199.82501468888,4777.26282382782,-63.3945263276669,44.3977265401818,-61.6263308735314,42.0374022111206
-6387.46830541731,5011.24314871241,-6285.27430470849,4745.44699918637,-64.2024431236153,44.0375070946881,-62.382364592007,41.7331903563126
-6474.65942831561,4962.47063218664,-6402.3975336614,4704.74503521595,-64.9208707986237,43.5822387261945,-63.4245446900263,41.3417352420562
-6570.31430117893,4947.29384012164,-6552.07468217778,4679.46630287457,-65.8289044898164,43.4191145423493,-64.8300445348986,41.0759115374155
-6664.63852491516,4978.8769833049,-6642.92992500397,4674.81645265477,-66.8743528330713,43.6659086339027,-65.7132738821352,41.0080090363802
-6763.08299837331,4987.88744925464,-6694.98526312215,4668.0945289257,-67.8894224888376,43.7128357526137,-66.2070882906595,40.933404479343
-6858.47864297457,4962.43222242779,-6726.63157679749,4658.13007060423,-68.7587130590048,43.4585945224499,-66.4896929363715,40.8365279272274
-6939.28914851005,4905.61127758879,-6758.4667753592,4640.52702174365,-69.3759350633826,42.934836521012,-66.7513064427406,40.6727034921414
-6995.6898469361,4824.2267332682,-6810.79827190519,4599.50478188371,-69.6693206783896,42.2047916228743,-67.1452945803517,40.297683153362
-7047.12336449744,4742.55519562813,-6909.70156294889,4526.43778574704,-69.9156780337871,41.4743590895556,-67.9024846270939,39.6284067523318
-7144.60642270849,4722.16807907963,-7037.94893822419,4460.77083322527,-70.8144498657076,41.2645051132949,-68.96719442318,39.0154501776977
